,caption
0,"During this month's Esplanade cleanup on February 18th, we had 31 awesome volunteers. 

We had a very successful day collecting a total of over 180 pounds of garbage and 30 pounds of recycling. Someone even found an abandoned shopping cart! We also got 1,063 cigarette butts, 227 of which were from our cigarette butt container. 

Thanks so much to everyone who came out and helped clean up. We can’t wait to see you next month!
.
.
.
.
#trashpicking #saveouroceans #keeptheseaplasticfree #bayareabeaches #cleantown #helpourbeach #saynotoplastic #oceanconservation #cleanupcommunity #sanmateocounty #cleanearth #marinelitter #beachcleaning #keepourbeachesclean #beachtrash #littercleanup #oceanpollution #oceancleanup #oceanplastic #plasticpollutes #plasticocean #beachcleanup #breakfreefromplastic #loveearth #marineconservation #pacifica #plasticpollution #savetheocean"
1,"Boyan Slat, the 28-year-old Dutch entrepreneur and founder of non-profit environmental organization The Ocean Cleanup, has been working on ways to filter plastic waste out of the Pacific Ocean for nearly 10 years . According to BBC News , he said the journey had been harder than he ever imagined it would be.

The Scale of the Problem 
The Ocean Cleanup uses a long , u-shaped barrier, similar to a net, that is pulled through patches of rubbish by boats. It moves slowly to avoid harming marine life. The system has so far cleaned up almost 200,000 kilograms (440,000 lbs) of ocean plastic.

The Ocean Cleanup's Filtering Process 
Research conducted by the company in 2021 suggests that about 1,000 of the world 's rivers are the source of 80% of the global ocean plastic pollution. To stop the plastic in rivers, The Ocean Cleanup uses its &quot;Interceptor&quot; solutions, and aims to scale this to all 1,000 heaviest polluting rivers in the world. The tech behind these varies according to factors such as width, depth, flow speed , and debris type of the river in question, assessed using AI -powered cameras.

Scaling Up Operations 
Boyan said the fast-flowing nature of rivers can make stopping plastic even more difficult. &quot;In rivers, you really only have one shot at catching the plastic—it just flows by and if you don't catch it, it's guaranteed to enter the ocean,&quot; he said. He added that the rivers are really the arteries that carry trash from land to sea, so when it rains, plastic washes from streets into creeks, into rivers, and then ultimately to the ocean.

Intercepting Plastic in Rivers 
According to Boyan, &quot;The planet is pretty big, it turns out,&quot; adding that there are about 1,000 rivers that need to be tackled and five ocean garbage patches. The f…

Read more: https://dailytechnews.io/post/165/

#environment #ocean #boyanslat #oceancleanup #thescaleoftheproblem #theoceanscleanupfilteringprocess #scalingupoperations #interceptingplasticinrivers #oceanplasticpollution #interceptorsolutions #aipoweredcameras #riverstosea #plasticwasteinpacific"
2,"Beach Clean Up No. 55
Kolaborasi Trash Hero Kuantan & Uniten Nature Club
Lokasi: Pantai Batu Hitam
Tarikh: 25.2.2023 

Jenis sampah yang dikutip: 
• Bekas makanan plastik sekali guna, botol² plastik & straw plastik sekali guna, pembalut makanan/food wrappers
• Tin minuman, botol² gelas
• Kotak rokok dan puntung rokok
• Polisterin 
• Pelitup muka sekali pakai
• Lampin pakai buang bayi 

25 beg/guni sampah berjaya dikutip
Berat sampah yang dikutip: 129.36 kg 

Bilangan wira: 48
• 4 kanak-kanak
• 44 dewasa 

Terima kasih kepada sponsor²: 
• Kak Jue Ahmad utk guni² sampah yang masih digunasemula oleh kami 
• @majlisbandarayakuantan & @alamflorasdnbhd untuk tong roro di lokasi - terima kasih Abang² Alam Flora kerana tunggu lama untuk kami selesai menimbang sampah 🙏💛 

36 mahasiswa/mahasiswi dan 2 pensyarah dari Uniten Nature Club, Muadzam, telah datang dari jauh untuk berkolaborasi bersama Trash Hero Kuantan pada hari ini. Terima kasih kerana sudi sertai beach clean up di Kuantan dan juga kerana menderma 'trash pickers' & 'goody bag' dengan tupperware yang boleh digunasemula 😍🙏💛 

Ibu bapa & anak² dari Sekolah Chung Ching juga telah turut serta hari ini. Dan volunteer baru, Pn. Nik dari Batu Hitam hadir awal bersama anak² saudara. Gembira bila ada volunteer baru 🙌😍 

Banyak sampah berjaya dikutip kerana ramai sukarelawan yang hadir. Kebanyakkan bekas makanan/minuman plastik dikutip berdekatan gerai² (jelas dibuang merata² oleh pengunjung). Ada juga sampah yang hanyut dibawa air pasang yg terselit di kawasan semak dan bawah kawasan pembinaan baru. 

Memang rasa puas hati apabila lebih dari 100 kg sampah berjaya dikutip hari ini. Selepas sampah dikutip, volunteer telah sama² menimbang setiap beg sampah untuk mendapatkan data yang akan dihantar ke pihak Trash Hero World untuk rekod. 

Jika anda ingin melakukan perubahan, jom sertai sesi gotong-royong kami yang akan datang. Untuk butir² lanjut berkenaan masa/lokasi, sila pantau FB dan IG kami.

Terima kasih 🙏💛 

#beachcleanup #oceancleanup #trashhero #stoplittering #environment #awareness #responsibledisposal #reduceplastic #nosingleuseplastic #stopplasticpollution #trashhero #volunteers #kuantan"
3,"Foster City’s Site Captains held a great cleanup last weekend! 

Thank you to our Junior Site Captains: Anya, Stuti, and Lipika, you were all super helpful! Thank you Naturalist Nat, and Gail for helping with Junior Site Captains!

Overall the 32 volunteers picked up 34 lbs of trash, 10 lbs of recycling, and ~3000 cigarette butts collected (almost filled a two-gallon bucket)! 

Continuing from previous cleanups lots of cigarette butts were collected, as well as vaporizers, but a car fender was definitely unique this time! 

Next month's cleanup in Foster City will be at the Marina Plaza Shopping Center on Sunday, March 19th. Address: 2920 S Norfolk St, San Mateo, CA 94403. Please register online, it saves time and paper! 
.
.
.
.
#trashpicking #saveouroceans #keeptheseaplasticfree #bayareabeaches #cleantown #helpourbeach #saynotoplastic #oceanconservation #cleanupcommunity #sanmateocounty #cleanearth #marinelitter #beachcleaning #keepourbeachesclean #beachtrash #littercleanup #oceanpollution #oceancleanup #oceanplastic #plasticpollutes #plasticocean #beachcleanup #breakfreefromplastic #loveearth #marineconservation #pacifica #plasticpollution #savetheocean"
4,"Certain cleanups inspire us to work even harder for our mission of a #DebrisFreeSea.

This week, our ODA Oahu crew made it to Spitting Cave, a popular cliffside recreational fishing site where many lines and hooks are lost to the waters below.

The end of the day yielded 50 pounds of weight and a couple of hundred yards of fishing line. Thank you to Island Divers Hawaii and our wonderful ODA volunteers for making our oceans cleaner than before!

Our article, 'ODA Ocean Cleaning Crew Inspired to Defend Whales, Mantas, and All Wildlife' is out now! Link in bio.

Written by: Marjorie Zensen - Oahu Volunteer Coordinator & ODA Advisory Board Member

#oceandefenders #hawaii #oahu #spittingcaves #scubadive #dive #ghostgear #oceancleanup #beachcleanup #saveouroceans #oceanlove"
5,"Epic day cleaning up the Burnett River banks with @oceancrusaders 🌊. 

These guys do epic trash cleaning missions and I’m so glad we connected through @khakiandocean and I was able to join them today.

About 250kgs of human trash - bottles, bags, chip packets, shoes, fishing gear and polystyrene.

Crazy to see how much there was, especially after already cleaning some of these sections already.

Keep up the great work !!

#oceancleanup #beachclean #bundaberg #visitbundaberg #bundabergregion #cleanupaustraliaday #oceancrusaders #burnettriver #conservation"
6,"The Ocean Clean Up @theoceancleanup are working to remove plastic from the world’s oceans and has so far removed over a whopping 100,000kg of rubbish from the Great Pacific Garbage Patch! Inspired by the cause and their efforts, Airbnbs @airbnb owner Joe Gebbia donated $25 million in support. 

If you hadn’t heard, there’s a massive “island” of plastic the size of Texas floating in the Pacific Ocean and The Ocean Clean Up is dedicated to its removal. Not all heroes wear capes 🦸‍♂️💚🌎

#oceancleanup #corporateresponsibility #plasticisnotfantastic #plasticisland #greatpacificgarbagepatch #plasticfreeoceans #plasticfreeforthesea"
7,"Today's #FeelGoodFriday takes us to the  Great Pacific Garbage Patch or GPGP (located between Hawai’i and California) where a big development has been made in a non-profit's effort to clean up our oceans.

Last year we discussed Ocean Cleanup and how their ocean cleaning system, System 002, has already removed close to 440,000 pounds of plastic from the GPGP that otherwise would have remained trapped for decades or more.  Recently, the co-founder of Airbnb has just donated $25 million to support this Dutch nonprofit as they prepare to assemble and deploy the largest plastic capture system ever developed for use in the ocean - System 03. This new system cleans ten times faster than the previous system and could clean all the plastic patches of the world’s oceans with about 10-50 systems!  2023 is shaping up to be a great year in the fight against plastic pollution!

 #plastic #fightagainstplastic #ocean #cleanocean #OceanCleanup #GPGP #cleanseas #FeelGoodFriday #FeelGood #madisonavenuesigns"
8,"We wanted to share with you some happy eco news! We know the news can be overwhelming with lots of terrible things happening, so we wanted to take a moment to celebrate something positive and feel-good.

The Ocean Cleanup is doing amazing work removing plastic pollution from the ocean. Last summer System 002 alone completed 61 extractions of a total of 194,092kg of plastic out of the ocean, and is now on a well-deserved winter break until March 2023 for maintenance.

At PurePods we believe every bit of plastic waste counts, which is why our PurePods water filters use 60% less plastic than competitors, and our cartridge is reusable! 

#GreatTasteLessWaste #PurePods #waterfilters #GreatOceanCleanup #oceanplastic #oceancleanup #saveouroceans #sustainability #filteredwater #chooserefillable #saynotosingleuse #water #drink #waterjug #tapwater #waterfilter #bettertaste #brita #britafilter #plastic #plasticwaste #eco #sustainability #microfiltration #filter"
9,"Thank you to the 96 volunteers, who cleaned the beach, streets, parking areas, pier, and even some of the golf course last Saturday at Sharp Park, Pacifica, CA! Woot woot! 

Huge thanks to the students from Saint Francis High School who joined fellow volunteers to remove 1085 Cigarette Filter (350 from the Pier), 227 pounds of trash including three battered, beat-up tires that washed up on the beach, and 125 recyclable materials.

A bucket of plastic film pieces was recovered from the beach. Enough plastic netting was picked out of the sand in the picnic area to fill a 5-gallon bucket.  It was clearly residue left behind from sod that was installed years and years ago and now uncovered from the strong waves of the past storms.

Volunteers from St. Francis High School included club members from BRIC Brothers, BRIC Sisters, the ocean club, and the environmental club. Big thanks to Tiffany (wearing the yellow jacket in the first photo) who catalyzed these students to join us, it's a perfect example of how one person can create a huge difference!
.
.
.
.
#trashpicking #saveouroceans #keeptheseaplasticfree #bayareabeaches #cleantown #helpourbeach #saynotoplastic #oceanconservation #cleanupcommunity #sanmateocounty #cleanearth #marinelitter #beachcleaning #keepourbeachesclean #beachtrash #littercleanup #oceanpollution #oceancleanup #oceanplastic #plasticpollutes #plasticocean #beachcleanup #breakfreefromplastic #loveearth #marineconservation #pacifica #plasticpollution #savetheocean"
